Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,CO,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Civic,"(-35.285307, 149.131579)",09/04/2020 10:00,,0.015,0.01,0,7.13,4.37,0,0,15,13,14,17,17,09-Apr-20,10:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 10:00,0.001,0.019,0.015,0.06,6.21,7,0,1,19,19,12,28,28,09-Apr-20,10:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 10:00,0,0.02,0.018,0,6.04,3.51,0,0,20,22,12,14,22,09-Apr-20,10:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 11:00,0,0.022,0.017,0.07,6.16,6.93,0,0,22,21,12,27,27,09-Apr-20,11:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 11:00,,0.017,0.012,0,6.6,4.35,0,0,17,15,13,17,17,09-Apr-20,11:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 11:00,0,0.022,0.019,0,5.77,3.29,0,0,22,24,11,13,24,09-Apr-20,11:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 12:00,,0.019,0.015,0,6.15,4.23,0,0,19,19,12,16,19,09-Apr-20,12:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 12:00,0,0.022,0.021,0,5.38,3.21,0,0,22,26,10,12,26,09-Apr-20,12:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 12:00,0,0.023,0.019,0.07,5.89,6.49,0,0,23,24,11,25,25,09-Apr-20,12:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 13:00,,0.02,0.018,0,6,3.98,0,0,20,22,12,15,22,09-Apr-20,13:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 13:00,0,0.024,0.022,0.07,5.59,6.37,0,0,24,28,11,25,28,09-Apr-20,13:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 13:00,0,0.025,0.022,0,4.92,2.9,0,0,25,28,9,11,28,09-Apr-20,13:00:00
Civic,"(-35.285307, 149.131579)",09/04/2020 14:00,,0.021,0.019,0,5.95,3.63,0,0,21,24,11,14,24,09-Apr-20,14:00:00
Monash,"(-35.418302, 149.094018)",09/04/2020 14:00,0,0.026,0.024,0,4.82,2.87,0,0,26,30,9,11,30,09-Apr-20,14:00:00
Florey,"(-35.220606, 149.043539)",09/04/2020 14:00,0,0.026,0.024,0.07,5.51,6.24,0,0,26,30,11,24,30,09-Apr-20,14:00:00
